metric,Bias (RMSD of all gridpoints),Bias (RMSD of all gridpoints),Mean change (Future - Reference),Mean change (Future - Reference)
variable,Temperature (K),Precipitation (kg/m2/s),Temperature (K),Precipitation (kg/m2/s)
dataset,,,,
CMIP6_FGOALS-g3_r4i1p1f1,6.44E+00,1.81E-05,1.56E+00,5.71E-07
CMIP6_FIO-ESM-2-0_r1i1p1f1,3.02E+00,1.75E-05,2.07E+00,1.89E-07
CMIP6_FIO-ESM-2-0_r2i1p1f1,3.05E+00,1.75E-05,2.15E+00,4.95E-08
CMIP6_FIO-ESM-2-0_r3i1p1f1,3.00E+00,1.73E-05,2.17E+00,3.05E-08
CMIP6_GFDL-CM4_r1i1p1f1,3.45E+00,1.65E-05,2.85E+00,4.88E-07
CMIP6_GFDL-ESM4_r1i1p1f1,3.36E+00,1.74E-05,1.95E+00,2.49E-07
CMIP6_GISS-E2-1-G_r1i1p1f2,4.93E+00,1.75E-05,3.09E+00,-6.17E-07
CMIP6_GISS-E2-1-G_r1i1p3f1,4.01E+00,1.80E-05,2.29E+00,2.72E-07
CMIP6_GISS-E2-1-G_r1i1p5f1,3.84E+00,1.81E-05,2.43E+00,3.87E-08
CMIP6_GISS-E2-1-G_r2i1p1f2,4.79E+00,1.78E-05,2.41E+00,-5.09E-08
CMIP6_GISS-E2-1-G_r2i1p3f1,3.91E+00,1.80E-05,1.95E+00,-3.02E-07
CMIP6_GISS-E2-1-G_r3i1p1f2,4.59E+00,1.77E-05,2.37E+00,-9.87E-08
CMIP6_GISS-E2-1-G_r3i1p3f1,4.03E+00,1.81E-05,2.17E+00,8.62E-08
CMIP6_GISS-E2-1-G_r4i1p1f2,4.78E+00,1.79E-05,2.33E+00,-2.48E-07
CMIP6_GISS-E2-1-G_r4i1p3f1,3.94E+00,1.83E-05,2.18E+00,4.62E-07
CMIP6_GISS-E2-1-G_r5i1p1f2,4.83E+00,1.80E-05,2.75E+00,1.71E-07
CMIP6_GISS-E2-1-G_r5i1p3f1,4.18E+00,1.81E-05,2.29E+00,-5.28E-08
CMIP6_HadGEM3-GC31-LL_r1i1p1f3,3.18E+00,1.74E-05,3.02E+00,5.53E-07
CMIP6_HadGEM3-GC31-LL_r2i1p1f3,3.12E+00,1.73E-05,3.12E+00,2.21E-07
CMIP6_HadGEM3-GC31-LL_r3i1p1f3,3.21E+00,1.73E-05,3.18E+00,2.85E-08
CMIP6_HadGEM3-GC31-LL_r4i1p1f3,3.64E+00,1.74E-05,3.70E+00,8.09E-07
CMIP6_HadGEM3-GC31-MM_r1i1p1f3,3.21E+00,1.83E-05,3.27E+00,2.20E-07
CMIP6_HadGEM3-GC31-MM_r2i1p1f3,3.28E+00,1.86E-05,3.38E+00,7.94E-08
CMIP6_HadGEM3-GC31-MM_r3i1p1f3,3.06E+00,1.85E-05,2.86E+00,-1.48E-07
CMIP6_HadGEM3-GC31-MM_r4i1p1f3,2.99E+00,1.83E-05,2.85E+00,-4.20E-07
CMIP6_IITM-ESM_r1i1p1f1,3.93E+00,1.82E-05,1.36E+00,2.84E-08
CMIP6_INM-CM4-8_r1i1p1f1,3.38E+00,1.77E-05,1.50E+00,3.13E-08
CMIP6_INM-CM5-0_r1i1p1f1,3.47E+00,1.77E-05,2.30E+00,4.02E-07
CMIP6_IPSL-CM6A-LR_r14i1p1f1,3.14E+00,1.78E-05,2.96E+00,2.91E-07
CMIP6_IPSL-CM6A-LR_r1i1p1f1,3.21E+00,1.79E-05,2.52E+00,-6.06E-07
CMIP6_IPSL-CM6A-LR_r2i1p1f1,3.12E+00,1.78E-05,2.52E+00,-2.05E-07
CMIP6_IPSL-CM6A-LR_r3i1p1f1,3.10E+00,1.74E-05,2.80E+00,1.86E-07
CMIP6_IPSL-CM6A-LR_r4i1p1f1,3.13E+00,1.79E-05,2.65E+00,5.34E-08
CMIP6_IPSL-CM6A-LR_r6i1p1f1,3.20E+00,1.76E-05,2.58E+00,1.07E-07
CMIP6_KACE-1-0-G_r1i1p1f1,3.88E+00,1.90E-05,3.27E+00,3.78E-07
CMIP6_KACE-1-0-G_r2i1p1f1,3.81E+00,1.87E-05,3.12E+00,1.40E-07
CMIP6_KACE-1-0-G_r3i1p1f1,3.71E+00,1.85E-05,3.33E+00,-4.54E-08
CMIP6_MCM-UA-1-0_r1i1p1f2,4.28E+00,1.77E-05,2.06E+00,7.95E-07
CMIP6_MIROC-ES2L_r10i1p1f2,3.56E+00,1.77E-05,2.31E+00,2.39E-07
CMIP6_MIROC-ES2L_r1i1p1f2,3.46E+00,1.75E-05,2.69E+00,5.72E-07
CMIP6_MIROC-ES2L_r2i1p1f2,3.52E+00,1.75E-05,2.34E+00,4.98E-08
CMIP6_MIROC-ES2L_r3i1p1f2,3.60E+00,1.77E-05,2.45E+00,3.49E-07
CMIP6_MIROC-ES2L_r4i1p1f2,3.64E+00,1.77E-05,2.70E+00,3.48E-07
CMIP6_MIROC-ES2L_r5i1p1f2,3.57E+00,1.78E-05,2.39E+00,2.70E-07
CMIP6_MIROC-ES2L_r6i1p1f2,3.46E+00,1.76E-05,2.36E+00,-7.42E-09
CMIP6_MIROC-ES2L_r7i1p1f2,3.54E+00,1.78E-05,2.33E+00,-6.44E-08
CMIP6_MIROC-ES2L_r8i1p1f2,3.54E+00,1.77E-05,2.40E+00,2.18E-07
CMIP6_MIROC-ES2L_r9i1p1f2,3.54E+00,1.76E-05,2.45E+00,3.01E-07
CMIP6_MIROC6_r10i1p1f1,4.09E+00,1.73E-05,2.12E+00,-1.42E-08
CMIP6_MIROC6_r11i1p1f1,4.03E+00,1.72E-05,2.06E+00,-1.40E-07
CMIP6_MIROC6_r12i1p1f1,3.98E+00,1.72E-05,2.32E+00,2.21E-07
CMIP6_MIROC6_r13i1p1f1,3.98E+00,1.73E-05,2.40E+00,-5.54E-07
CMIP6_MIROC6_r14i1p1f1,3.98E+00,1.74E-05,2.30E+00,-7.33E-08
CMIP6_MIROC6_r15i1p1f1,4.10E+00,1.76E-05,2.22E+00,2.50E-08
CMIP6_MIROC6_r16i1p1f1,4.09E+00,1.76E-05,2.06E+00,1.18E-07
CMIP6_MIROC6_r17i1p1f1,4.02E+00,1.75E-05,2.12E+00,-1.38E-07
CMIP6_MIROC6_r18i1p1f1,4.04E+00,1.73E-05,2.13E+00,-2.41E-07
CMIP6_MIROC6_r19i1p1f1,4.00E+00,1.74E-05,2.18E+00,-1.46E-07
CMIP6_MIROC6_r1i1p1f1,4.00E+00,1.74E-05,2.25E+00,-2.45E-07
CMIP6_MIROC6_r20i1p1f1,4.11E+00,1.73E-05,2.19E+00,-1.49E-07
CMIP6_MIROC6_r21i1p1f1,3.94E+00,1.74E-05,2.32E+00,2.96E-08
CMIP6_MIROC6_r22i1p1f1,4.03E+00,1.74E-05,2.34E+00,8.68E-08
CMIP6_MIROC6_r23i1p1f1,4.07E+00,1.76E-05,2.26E+00,-2.85E-07
CMIP6_MIROC6_r24i1p1f1,4.08E+00,1.75E-05,2.10E+00,-1.79E-07
CMIP6_MIROC6_r25i1p1f1,4.07E+00,1.76E-05,2.14E+00,-4.75E-07
CMIP6_MIROC6_r26i1p1f1,4.03E+00,1.74E-05,2.21E+00,-7.41E-07
CMIP6_MIROC6_r27i1p1f1,4.07E+00,1.75E-05,2.33E+00,2.18E-07
CMIP6_MIROC6_r28i1p1f1,4.06E+00,1.75E-05,2.11E+00,1.11E-07
CMIP6_MIROC6_r29i1p1f1,4.08E+00,1.74E-05,2.19E+00,-1.76E-07
CMIP6_MIROC6_r2i1p1f1,4.01E+00,1.72E-05,2.08E+00,1.68E-07
CMIP6_MIROC6_r30i1p1f1,4.07E+00,1.76E-05,2.05E+00,1.01E-07
CMIP6_MIROC6_r31i1p1f1,3.96E+00,1.75E-05,2.17E+00,-2.95E-08
CMIP6_MIROC6_r32i1p1f1,4.05E+00,1.75E-05,2.14E+00,-8.38E-08
CMIP6_MIROC6_r33i1p1f1,4.13E+00,1.77E-05,2.20E+00,-1.74E-07
CMIP6_MIROC6_r34i1p1f1,4.05E+00,1.76E-05,2.27E+00,-1.05E-07
CMIP6_MIROC6_r35i1p1f1,4.06E+00,1.74E-05,2.26E+00,-2.35E-07
CMIP6_MIROC6_r36i1p1f1,4.02E+00,1.73E-05,2.08E+00,-1.19E-07
CMIP6_MIROC6_r37i1p1f1,3.93E+00,1.73E-05,2.34E+00,-1.30E-07
CMIP6_MIROC6_r38i1p1f1,4.02E+00,1.75E-05,2.20E+00,3.42E-08
CMIP6_MIROC6_r39i1p1f1,4.05E+00,1.75E-05,2.40E+00,1.61E-07
CMIP6_MIROC6_r3i1p1f1,4.01E+00,1.77E-05,2.11E+00,-4.53E-07
CMIP6_MIROC6_r40i1p1f1,4.03E+00,1.75E-05,2.50E+00,-2.65E-07
CMIP6_MIROC6_r41i1p1f1,3.94E+00,1.75E-05,2.26E+00,-8.32E-08
CMIP6_MIROC6_r42i1p1f1,3.98E+00,1.73E-05,2.36E+00,7.62E-08
CMIP6_MIROC6_r43i1p1f1,4.06E+00,1.75E-05,2.06E+00,-2.32E-07
CMIP6_MIROC6_r44i1p1f1,3.96E+00,1.72E-05,2.09E+00,-3.96E-08
CMIP6_MIROC6_r45i1p1f1,4.08E+00,1.76E-05,2.26E+00,-3.05E-07
CMIP6_MIROC6_r46i1p1f1,3.98E+00,1.73E-05,2.27E+00,5.15E-08
CMIP6_MIROC6_r47i1p1f1,3.98E+00,1.73E-05,2.02E+00,-2.44E-07
CMIP6_MIROC6_r48i1p1f1,3.99E+00,1.75E-05,2.20E+00,-4.15E-07
CMIP6_MIROC6_r49i1p1f1,4.04E+00,1.75E-05,2.02E+00,3.22E-07
CMIP6_MIROC6_r4i1p1f1,4.04E+00,1.76E-05,2.42E+00,2.00E-08
CMIP6_MIROC6_r50i1p1f1,4.01E+00,1.72E-05,2.06E+00,-2.93E-07
CMIP6_MIROC6_r5i1p1f1,4.10E+00,1.74E-05,2.23E+00,1.48E-07
CMIP6_MIROC6_r6i1p1f1,4.05E+00,1.75E-05,2.24E+00,7.46E-08
CMIP6_MIROC6_r7i1p1f1,4.01E+00,1.75E-05,2.26E+00,-9.19E-08
CMIP6_MIROC6_r8i1p1f1,4.01E+00,1.73E-05,2.39E+00,6.95E-08
CMIP6_MIROC6_r9i1p1f1,4.00E+00,1.73E-05,2.28E+00,5.94E-08
CMIP6_MPI-ESM1-2-HR_r1i1p1f1,2.98E+00,1.80E-05,1.84E+00,1.18E-07
CMIP6_MPI-ESM1-2-HR_r2i1p1f1,2.97E+00,1.78E-05,1.89E+00,1.32E-07
CMIP6_MPI-ESM1-2-LR_r10i1p1f1,2.97E+00,1.79E-05,1.81E+00,8.23E-08
CMIP6_MPI-ESM1-2-LR_r1i1p1f1,2.95E+00,1.78E-05,1.82E+00,2.52E-07
CMIP6_MPI-ESM1-2-LR_r2i1p1f1,2.95E+00,1.76E-05,2.03E+00,1.35E-07
CMIP6_MPI-ESM1-2-LR_r3i1p1f1,3.02E+00,1.77E-05,2.04E+00,1.68E-07
CMIP6_MPI-ESM1-2-LR_r4i1p1f1,3.05E+00,1.78E-05,1.72E+00,2.38E-07
CMIP6_MPI-ESM1-2-LR_r5i1p1f1,3.00E+00,1.78E-05,2.04E+00,3.80E-07
CMIP6_MPI-ESM1-2-LR_r6i1p1f1,2.98E+00,1.79E-05,1.71E+00,-3.72E-08
CMIP6_MPI-ESM1-2-LR_r7i1p1f1,2.99E+00,1.79E-05,1.93E+00,1.52E-07
CMIP6_MPI-ESM1-2-LR_r8i1p1f1,3.02E+00,1.78E-05,2.04E+00,3.66E-07
CMIP6_MPI-ESM1-2-LR_r9i1p1f1,2.98E+00,1.77E-05,1.56E+00,1.04E-07
CMIP6_MRI-ESM2-0_r1i1p1f1,2.81E+00,1.71E-05,2.36E+00,5.75E-07
CMIP6_MRI-ESM2-0_r1i2p1f1,2.76E+00,1.74E-05,2.01E+00,4.88E-07
CMIP6_NESM3_r1i1p1f1,3.90E+00,1.83E-05,3.22E+00,3.60E-07
CMIP6_NESM3_r2i1p1f1,4.17E+00,1.80E-05,3.16E+00,7.40E-07
CMIP6_NorESM2-LM_r1i1p1f1,3.08E+00,1.70E-05,1.74E+00,-4.97E-07
CMIP6_NorESM2-MM_r1i1p1f1,2.86E+00,1.67E-05,1.76E+00,-7.65E-07
CMIP6_TaiESM1_r1i1p1f1,3.09E+00,1.77E-05,2.97E+00,4.80E-07
CMIP6_UKESM1-0-LL_r1i1p1f2,3.51E+00,1.76E-05,3.76E+00,2.23E-07
CMIP6_UKESM1-0-LL_r2i1p1f2,3.69E+00,1.72E-05,3.92E+00,2.16E-07
CMIP6_UKESM1-0-LL_r3i1p1f2,3.36E+00,1.74E-05,3.48E+00,4.03E-07
CMIP6_UKESM1-0-LL_r4i1p1f2,3.17E+00,1.75E-05,3.30E+00,4.29E-08
CMIP6_UKESM1-0-LL_r8i1p1f2,3.67E+00,1.72E-05,3.92E+00,3.06E-07
