dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP6_EC-Earth3_r102i1p1f1,3.3,1.44288,2.95,0.118368,CMIP6,r102i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r103i1p1f1,3.68,1.44288,3.29,0.10195199999999999,CMIP6,r103i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r104i1p1f1,3.21,1.43424,2.66,0.0823392,CMIP6,r104i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r105i1p1f1,3.59,1.43424,3.48,0.13392,CMIP6,r105i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r106i1p1f1,3.78,1.45152,4.07,0.19699200000000003,CMIP6,r106i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r107i1p1f1,2.87,1.44288,2.44,0.058492800000000005,CMIP6,r107i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r108i1p1f1,3.08,1.45152,2.69,0.126144,CMIP6,r108i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r109i1p1f1,3.6,1.4687999999999999,3.37,0.147744,CMIP6,r109i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r110i1p1f1,3.05,1.4256000000000002,2.58,0.08208,CMIP6,r110i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r111i1p1f1,3.85,1.44288,3.99,0.175392,CMIP6,r111i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r112i1p1f1,4.27,1.43424,4.64,0.214272,CMIP6,r112i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r113i1p1f1,3.38,1.44288,2.9,0.09504,CMIP6,r113i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r114i1p1f1,3.13,1.43424,2.7,0.09936,CMIP6,r114i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r115i1p1f1,3.23,1.4601600000000001,3.09,0.094176,CMIP6,r115i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r116i1p1f1,3.05,1.45152,2.75,0.0697248,CMIP6,r116i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r117i1p1f1,4.3,1.45152,4.52,0.19267199999999998,CMIP6,r117i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r118i1p1f1,4.05,1.4601600000000001,4.33,0.183168,CMIP6,r118i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r119i1p1f1,2.86,1.4256000000000002,2.63,0.0778464,CMIP6,r119i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r11i1p1f1,3.59,1.4256000000000002,3.79,0.17366399999999999,CMIP6,r11i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r120i1p1f1,3.04,1.45152,2.4,0.036288,CMIP6,r120i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r121i1p1f1,3.19,1.45152,2.96,0.101088,CMIP6,r121i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r122i1p1f1,3.15,1.45152,2.47,0.07629119999999999,CMIP6,r122i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r123i1p1f1,3.43,1.44288,3.14,0.139968,CMIP6,r123i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r124i1p1f1,4.04,1.45152,4.51,0.210816,CMIP6,r124i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r125i1p1f1,2.88,1.43424,2.36,0.070848,CMIP6,r125i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r126i1p1f1,3.04,1.44288,2.5,0.097632,CMIP6,r126i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r127i1p1f1,2.91,1.43424,2.39,0.0741312,CMIP6,r127i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r128i1p1f1,3.05,1.43424,2.5,0.09072,CMIP6,r128i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r129i1p1f1,3.39,1.45152,3.67,0.139104,CMIP6,r129i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r130i1p1f1,4.19,1.44288,4.76,0.2376,CMIP6,r130i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r131i1p1f1,2.9,1.45152,2.38,0.0546048,CMIP6,r131i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r132i1p1f1,3.27,1.43424,2.89,0.09849600000000001,CMIP6,r132i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r133i1p1f1,3.04,1.44288,2.92,0.065232,CMIP6,r133i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r134i1p1f1,2.93,1.44288,2.13,0.0491616,CMIP6,r134i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r135i1p1f1,3.32,1.4687999999999999,3.28,0.1296,CMIP6,r135i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r136i1p1f1,3.3,1.4256000000000002,3.3,0.15379199999999998,CMIP6,r136i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r137i1p1f1,3.13,1.44288,2.39,0.0830304,CMIP6,r137i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r138i1p1f1,3.07,1.44288,2.35,0.07344,CMIP6,r138i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r139i1p1f1,2.99,1.43424,2.58,0.09504,CMIP6,r139i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r13i1p1f1,3.09,1.44288,2.72,0.0651456,CMIP6,r13i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r140i1p1f1,2.79,1.45152,1.95,0.022896,CMIP6,r140i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r141i1p1f1,4.35,1.44288,4.35,0.22636799999999999,CMIP6,r141i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r142i1p1f1,3.64,1.41696,3.72,0.145152,CMIP6,r142i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r143i1p1f1,3.16,1.4256000000000002,2.8,0.07957439999999999,CMIP6,r143i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r144i1p1f1,3.31,1.43424,2.95,0.12355200000000001,CMIP6,r144i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r145i1p1f1,3.8,1.43424,3.25,0.140832,CMIP6,r145i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r146i1p1f1,2.92,1.41696,2.06,0.088128,CMIP6,r146i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r147i1p1f1,4.02,1.44288,3.9,0.135648,CMIP6,r147i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r148i1p1f1,3.93,1.4601600000000001,4.14,0.20736,CMIP6,r148i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r149i1p1f1,3.63,1.45152,3.09,0.0755136,CMIP6,r149i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r150i1p1f1,3.03,1.44288,2.56,0.0818208,CMIP6,r150i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r15i1p1f1,2.98,1.44288,2.29,0.051926400000000004,CMIP6,r15i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r1i1p1f1,3.24,1.43424,3.29,0.115776,CMIP6,r1i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r3i1p1f1,3.28,1.44288,2.97,0.106272,CMIP6,r3i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r4i1p1f1,2.97,1.43424,2.35,0.0472608,CMIP6,r4i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r6i1p1f1,3.18,1.43424,2.8,0.102816,CMIP6,r6i1p1f1,EC-Earth3
CMIP6_EC-Earth3_r9i1p1f1,2.84,1.44288,2.2,0.0286848,CMIP6,r9i1p1f1,EC-Earth3
CMIP6_FGOALS-f3-L_r1i1p1f1,3.9,1.61568,1.88,0.0474336,CMIP6,r1i1p1f1,FGOALS-f3-L
CMIP6_FGOALS-g3_r1i1p1f1,6.74,1.5552000000000001,2.13,0.051494399999999996,CMIP6,r1i1p1f1,FGOALS-g3
CMIP6_FGOALS-g3_r2i1p1f1,6.58,1.5552000000000001,1.52,0.039916799999999995,CMIP6,r2i1p1f1,FGOALS-g3
CMIP6_FGOALS-g3_r3i1p1f1,7.06,1.56384,1.84,0.0729216,CMIP6,r3i1p1f1,FGOALS-g3
CMIP6_FGOALS-g3_r4i1p1f1,6.44,1.56384,1.56,0.0493344,CMIP6,r4i1p1f1,FGOALS-g3
CMIP6_FIO-ESM-2-0_r1i1p1f1,3.02,1.5119999999999998,2.07,0.0163296,CMIP6,r1i1p1f1,FIO-ESM-2-0
CMIP6_FIO-ESM-2-0_r2i1p1f1,3.05,1.5119999999999998,2.15,0.0042768,CMIP6,r2i1p1f1,FIO-ESM-2-0
CMIP6_FIO-ESM-2-0_r3i1p1f1,3.0,1.49472,2.17,0.0026352000000000003,CMIP6,r3i1p1f1,FIO-ESM-2-0
CMIP6_GFDL-CM4_r1i1p1f1,3.45,1.4256000000000002,2.85,0.042163200000000005,CMIP6,r1i1p1f1,GFDL-CM4
CMIP6_GFDL-ESM4_r1i1p1f1,3.36,1.50336,1.95,0.0215136,CMIP6,r1i1p1f1,GFDL-ESM4
CMIP6_GISS-E2-1-G_r1i1p1f2,4.93,1.5119999999999998,3.09,-0.053308799999999996,CMIP6,r1i1p1f2,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r1i1p3f1,4.01,1.5552000000000001,2.29,0.0235008,CMIP6,r1i1p3f1,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r1i1p5f1,3.84,1.56384,2.43,0.0033436800000000003,CMIP6,r1i1p5f1,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r2i1p1f2,4.79,1.53792,2.41,-0.00439776,CMIP6,r2i1p1f2,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r2i1p3f1,3.91,1.5552000000000001,1.95,-0.0260928,CMIP6,r2i1p3f1,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r3i1p1f2,4.59,1.52928,2.37,-0.008527680000000001,CMIP6,r3i1p1f2,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r3i1p3f1,4.03,1.56384,2.17,0.007447680000000001,CMIP6,r3i1p3f1,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r4i1p1f2,4.78,1.5465600000000002,2.33,-0.0214272,CMIP6,r4i1p1f2,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r4i1p3f1,3.94,1.58112,2.18,0.039916799999999995,CMIP6,r4i1p3f1,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r5i1p1f2,4.83,1.5552000000000001,2.75,0.0147744,CMIP6,r5i1p1f2,GISS-E2-1-G
CMIP6_GISS-E2-1-G_r5i1p3f1,4.18,1.56384,2.29,-0.0045619200000000006,CMIP6,r5i1p3f1,GISS-E2-1-G
CMIP6_HadGEM3-GC31-LL_r1i1p1f3,3.18,1.50336,3.02,0.0477792,CMIP6,r1i1p1f3,HadGEM3-GC31-LL
CMIP6_HadGEM3-GC31-LL_r2i1p1f3,3.12,1.49472,3.12,0.0190944,CMIP6,r2i1p1f3,HadGEM3-GC31-LL
CMIP6_HadGEM3-GC31-LL_r3i1p1f3,3.21,1.49472,3.18,0.0024624,CMIP6,r3i1p1f3,HadGEM3-GC31-LL
CMIP6_HadGEM3-GC31-LL_r4i1p1f3,3.64,1.50336,3.7,0.0698976,CMIP6,r4i1p1f3,HadGEM3-GC31-LL
CMIP6_HadGEM3-GC31-MM_r1i1p1f3,3.21,1.58112,3.27,0.019008,CMIP6,r1i1p1f3,HadGEM3-GC31-MM
CMIP6_HadGEM3-GC31-MM_r2i1p1f3,3.28,1.60704,3.38,0.00686016,CMIP6,r2i1p1f3,HadGEM3-GC31-MM
CMIP6_HadGEM3-GC31-MM_r3i1p1f3,3.06,1.5983999999999998,2.86,-0.0127872,CMIP6,r3i1p1f3,HadGEM3-GC31-MM
CMIP6_HadGEM3-GC31-MM_r4i1p1f3,2.99,1.58112,2.85,-0.036288,CMIP6,r4i1p1f3,HadGEM3-GC31-MM
CMIP6_IITM-ESM_r1i1p1f1,3.93,1.5724799999999999,1.36,0.00245376,CMIP6,r1i1p1f1,IITM-ESM
CMIP6_INM-CM4-8_r1i1p1f1,3.38,1.52928,1.5,0.00270432,CMIP6,r1i1p1f1,INM-CM4-8
CMIP6_INM-CM5-0_r1i1p1f1,3.47,1.52928,2.3,0.0347328,CMIP6,r1i1p1f1,INM-CM5-0
CMIP6_IPSL-CM6A-LR_r14i1p1f1,3.14,1.53792,2.96,0.0251424,CMIP6,r14i1p1f1,IPSL-CM6A-LR
CMIP6_IPSL-CM6A-LR_r1i1p1f1,3.21,1.5465600000000002,2.52,-0.0523584,CMIP6,r1i1p1f1,IPSL-CM6A-LR
CMIP6_IPSL-CM6A-LR_r2i1p1f1,3.12,1.53792,2.52,-0.017712,CMIP6,r2i1p1f1,IPSL-CM6A-LR
CMIP6_IPSL-CM6A-LR_r3i1p1f1,3.1,1.50336,2.8,0.0160704,CMIP6,r3i1p1f1,IPSL-CM6A-LR
CMIP6_IPSL-CM6A-LR_r4i1p1f1,3.13,1.5465600000000002,2.65,0.00461376,CMIP6,r4i1p1f1,IPSL-CM6A-LR
CMIP6_IPSL-CM6A-LR_r6i1p1f1,3.2,1.52064,2.58,0.009244800000000001,CMIP6,r6i1p1f1,IPSL-CM6A-LR
CMIP6_KACE-1-0-G_r1i1p1f1,3.88,1.6416000000000002,3.27,0.0326592,CMIP6,r1i1p1f1,KACE-1-0-G
CMIP6_KACE-1-0-G_r2i1p1f1,3.81,1.61568,3.12,0.012096,CMIP6,r2i1p1f1,KACE-1-0-G
CMIP6_KACE-1-0-G_r3i1p1f1,3.71,1.5983999999999998,3.33,-0.00392256,CMIP6,r3i1p1f1,KACE-1-0-G
CMIP6_MCM-UA-1-0_r1i1p1f2,4.28,1.52928,2.06,0.068688,CMIP6,r1i1p1f2,MCM-UA-1-0
CMIP6_MIROC-ES2L_r10i1p1f2,3.56,1.52928,2.31,0.0206496,CMIP6,r10i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r1i1p1f2,3.46,1.5119999999999998,2.69,0.0494208,CMIP6,r1i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r2i1p1f2,3.52,1.5119999999999998,2.34,0.00430272,CMIP6,r2i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r3i1p1f2,3.6,1.52928,2.45,0.030153600000000003,CMIP6,r3i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r4i1p1f2,3.64,1.52928,2.7,0.0300672,CMIP6,r4i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r5i1p1f2,3.57,1.53792,2.39,0.023328,CMIP6,r5i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r6i1p1f2,3.46,1.52064,2.36,-0.0006410879999999999,CMIP6,r6i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r7i1p1f2,3.54,1.53792,2.33,-0.005564159999999999,CMIP6,r7i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r8i1p1f2,3.54,1.52928,2.4,0.0188352,CMIP6,r8i1p1f2,MIROC-ES2L
CMIP6_MIROC-ES2L_r9i1p1f2,3.54,1.52064,2.45,0.026006400000000002,CMIP6,r9i1p1f2,MIROC-ES2L
CMIP6_MIROC6_r10i1p1f1,4.09,1.49472,2.12,-0.00122688,CMIP6,r10i1p1f1,MIROC6
CMIP6_MIROC6_r11i1p1f1,4.03,1.48608,2.06,-0.012096,CMIP6,r11i1p1f1,MIROC6
CMIP6_MIROC6_r12i1p1f1,3.98,1.48608,2.32,0.0190944,CMIP6,r12i1p1f1,MIROC6
CMIP6_MIROC6_r13i1p1f1,3.98,1.49472,2.4,-0.0478656,CMIP6,r13i1p1f1,MIROC6
CMIP6_MIROC6_r14i1p1f1,3.98,1.50336,2.3,-0.00633312,CMIP6,r14i1p1f1,MIROC6
CMIP6_MIROC6_r15i1p1f1,4.1,1.52064,2.22,0.00216,CMIP6,r15i1p1f1,MIROC6
CMIP6_MIROC6_r16i1p1f1,4.09,1.52064,2.06,0.0101952,CMIP6,r16i1p1f1,MIROC6
CMIP6_MIROC6_r17i1p1f1,4.02,1.5119999999999998,2.12,-0.0119232,CMIP6,r17i1p1f1,MIROC6
CMIP6_MIROC6_r18i1p1f1,4.04,1.49472,2.13,-0.0208224,CMIP6,r18i1p1f1,MIROC6
CMIP6_MIROC6_r19i1p1f1,4.0,1.50336,2.18,-0.012614400000000001,CMIP6,r19i1p1f1,MIROC6
CMIP6_MIROC6_r1i1p1f1,4.0,1.50336,2.25,-0.021168,CMIP6,r1i1p1f1,MIROC6
CMIP6_MIROC6_r20i1p1f1,4.11,1.49472,2.19,-0.012873599999999999,CMIP6,r20i1p1f1,MIROC6
CMIP6_MIROC6_r21i1p1f1,3.94,1.50336,2.32,0.0025574400000000002,CMIP6,r21i1p1f1,MIROC6
CMIP6_MIROC6_r22i1p1f1,4.03,1.50336,2.34,0.00749952,CMIP6,r22i1p1f1,MIROC6
CMIP6_MIROC6_r23i1p1f1,4.07,1.52064,2.26,-0.024624000000000004,CMIP6,r23i1p1f1,MIROC6
CMIP6_MIROC6_r24i1p1f1,4.08,1.5119999999999998,2.1,-0.0154656,CMIP6,r24i1p1f1,MIROC6
CMIP6_MIROC6_r25i1p1f1,4.07,1.52064,2.14,-0.04104,CMIP6,r25i1p1f1,MIROC6
CMIP6_MIROC6_r26i1p1f1,4.03,1.50336,2.21,-0.0640224,CMIP6,r26i1p1f1,MIROC6
CMIP6_MIROC6_r27i1p1f1,4.07,1.5119999999999998,2.33,0.0188352,CMIP6,r27i1p1f1,MIROC6
CMIP6_MIROC6_r28i1p1f1,4.06,1.5119999999999998,2.11,0.0095904,CMIP6,r28i1p1f1,MIROC6
CMIP6_MIROC6_r29i1p1f1,4.08,1.50336,2.19,-0.015206399999999998,CMIP6,r29i1p1f1,MIROC6
CMIP6_MIROC6_r2i1p1f1,4.01,1.48608,2.08,0.014515199999999999,CMIP6,r2i1p1f1,MIROC6
CMIP6_MIROC6_r30i1p1f1,4.07,1.52064,2.05,0.0087264,CMIP6,r30i1p1f1,MIROC6
CMIP6_MIROC6_r31i1p1f1,3.96,1.5119999999999998,2.17,-0.0025488,CMIP6,r31i1p1f1,MIROC6
CMIP6_MIROC6_r32i1p1f1,4.05,1.5119999999999998,2.14,-0.00724032,CMIP6,r32i1p1f1,MIROC6
CMIP6_MIROC6_r33i1p1f1,4.13,1.52928,2.2,-0.0150336,CMIP6,r33i1p1f1,MIROC6
CMIP6_MIROC6_r34i1p1f1,4.05,1.52064,2.27,-0.009072,CMIP6,r34i1p1f1,MIROC6
CMIP6_MIROC6_r35i1p1f1,4.06,1.50336,2.26,-0.020304,CMIP6,r35i1p1f1,MIROC6
CMIP6_MIROC6_r36i1p1f1,4.02,1.49472,2.08,-0.0102816,CMIP6,r36i1p1f1,MIROC6
CMIP6_MIROC6_r37i1p1f1,3.93,1.49472,2.34,-0.011232,CMIP6,r37i1p1f1,MIROC6
CMIP6_MIROC6_r38i1p1f1,4.02,1.5119999999999998,2.2,0.00295488,CMIP6,r38i1p1f1,MIROC6
CMIP6_MIROC6_r39i1p1f1,4.05,1.5119999999999998,2.4,0.0139104,CMIP6,r39i1p1f1,MIROC6
CMIP6_MIROC6_r3i1p1f1,4.01,1.52928,2.11,-0.0391392,CMIP6,r3i1p1f1,MIROC6
CMIP6_MIROC6_r40i1p1f1,4.03,1.5119999999999998,2.5,-0.022896,CMIP6,r40i1p1f1,MIROC6
CMIP6_MIROC6_r41i1p1f1,3.94,1.5119999999999998,2.26,-0.0071884800000000006,CMIP6,r41i1p1f1,MIROC6
CMIP6_MIROC6_r42i1p1f1,3.98,1.49472,2.36,0.00658368,CMIP6,r42i1p1f1,MIROC6
CMIP6_MIROC6_r43i1p1f1,4.06,1.5119999999999998,2.06,-0.0200448,CMIP6,r43i1p1f1,MIROC6
CMIP6_MIROC6_r44i1p1f1,3.96,1.48608,2.09,-0.0034214399999999996,CMIP6,r44i1p1f1,MIROC6
CMIP6_MIROC6_r45i1p1f1,4.08,1.52064,2.26,-0.026352,CMIP6,r45i1p1f1,MIROC6
CMIP6_MIROC6_r46i1p1f1,3.98,1.49472,2.27,0.0044496,CMIP6,r46i1p1f1,MIROC6
CMIP6_MIROC6_r47i1p1f1,3.98,1.49472,2.02,-0.021081600000000002,CMIP6,r47i1p1f1,MIROC6
CMIP6_MIROC6_r48i1p1f1,3.99,1.5119999999999998,2.2,-0.035856,CMIP6,r48i1p1f1,MIROC6
CMIP6_MIROC6_r49i1p1f1,4.04,1.5119999999999998,2.02,0.0278208,CMIP6,r49i1p1f1,MIROC6
CMIP6_MIROC6_r4i1p1f1,4.04,1.52064,2.42,0.001728,CMIP6,r4i1p1f1,MIROC6
CMIP6_MIROC6_r50i1p1f1,4.01,1.48608,2.06,-0.0253152,CMIP6,r50i1p1f1,MIROC6
CMIP6_MIROC6_r5i1p1f1,4.1,1.50336,2.23,0.0127872,CMIP6,r5i1p1f1,MIROC6
CMIP6_MIROC6_r6i1p1f1,4.05,1.5119999999999998,2.24,0.00644544,CMIP6,r6i1p1f1,MIROC6
CMIP6_MIROC6_r7i1p1f1,4.01,1.5119999999999998,2.26,-0.00794016,CMIP6,r7i1p1f1,MIROC6
CMIP6_MIROC6_r8i1p1f1,4.01,1.49472,2.39,0.006004799999999999,CMIP6,r8i1p1f1,MIROC6
CMIP6_MIROC6_r9i1p1f1,4.0,1.49472,2.28,0.00513216,CMIP6,r9i1p1f1,MIROC6
CMIP6_MPI-ESM1-2-HR_r1i1p1f1,2.98,1.5552000000000001,1.84,0.0101952,CMIP6,r1i1p1f1,MPI-ESM1-2-HR
CMIP6_MPI-ESM1-2-HR_r2i1p1f1,2.97,1.53792,1.89,0.0114048,CMIP6,r2i1p1f1,MPI-ESM1-2-HR
CMIP6_MPI-ESM1-2-LR_r10i1p1f1,2.97,1.5465600000000002,1.81,0.00711072,CMIP6,r10i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r1i1p1f1,2.95,1.53792,1.82,0.0217728,CMIP6,r1i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r2i1p1f1,2.95,1.52064,2.03,0.011664,CMIP6,r2i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r3i1p1f1,3.02,1.52928,2.04,0.014515199999999999,CMIP6,r3i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r4i1p1f1,3.05,1.53792,1.72,0.0205632,CMIP6,r4i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r5i1p1f1,3.0,1.53792,2.04,0.032832,CMIP6,r5i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r6i1p1f1,2.98,1.5465600000000002,1.71,-0.0032140800000000002,CMIP6,r6i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r7i1p1f1,2.99,1.5465600000000002,1.93,0.013132800000000002,CMIP6,r7i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r8i1p1f1,3.02,1.53792,2.04,0.0316224,CMIP6,r8i1p1f1,MPI-ESM1-2-LR
CMIP6_MPI-ESM1-2-LR_r9i1p1f1,2.98,1.52928,1.56,0.0089856,CMIP6,r9i1p1f1,MPI-ESM1-2-LR
CMIP6_MRI-ESM2-0_r1i1p1f1,2.81,1.4774399999999999,2.36,0.04968,CMIP6,r1i1p1f1,MRI-ESM2-0
CMIP6_MRI-ESM2-0_r1i2p1f1,2.76,1.50336,2.01,0.042163200000000005,CMIP6,r1i2p1f1,MRI-ESM2-0
CMIP6_NESM3_r1i1p1f1,3.9,1.58112,3.22,0.031104,CMIP6,r1i1p1f1,NESM3
CMIP6_NESM3_r2i1p1f1,4.17,1.5552000000000001,3.16,0.063936,CMIP6,r2i1p1f1,NESM3
CMIP6_NorESM2-LM_r1i1p1f1,3.08,1.4687999999999999,1.74,-0.042940799999999994,CMIP6,r1i1p1f1,NorESM2-LM
CMIP6_NorESM2-MM_r1i1p1f1,2.86,1.44288,1.76,-0.066096,CMIP6,r1i1p1f1,NorESM2-MM
CMIP6_TaiESM1_r1i1p1f1,3.09,1.52928,2.97,0.041471999999999995,CMIP6,r1i1p1f1,TaiESM1
CMIP6_UKESM1-0-LL_r1i1p1f2,3.51,1.52064,3.76,0.019267199999999998,CMIP6,r1i1p1f2,UKESM1-0-LL
CMIP6_UKESM1-0-LL_r2i1p1f2,3.69,1.48608,3.92,0.0186624,CMIP6,r2i1p1f2,UKESM1-0-LL
CMIP6_UKESM1-0-LL_r3i1p1f2,3.36,1.50336,3.48,0.0348192,CMIP6,r3i1p1f2,UKESM1-0-LL
CMIP6_UKESM1-0-LL_r4i1p1f2,3.17,1.5119999999999998,3.3,0.0037065600000000002,CMIP6,r4i1p1f2,UKESM1-0-LL
CMIP6_UKESM1-0-LL_r8i1p1f2,3.67,1.48608,3.92,0.0264384,CMIP6,r8i1p1f2,UKESM1-0-LL
