dataset,tas_bias,pr_bias,tas_change,pr_change,project,member,model
CMIP5_FGOALS-g2_r1i1p1,7.03,1.52064,2.05,0.0609984,CMIP5,r1i1p1,FGOALS-g2
CMIP5_FGOALS-s2_r1i1p1,5.25,1.6675200000000001,2.28,0.0774144,CMIP5,r1i1p1,FGOALS-s2
CMIP5_FGOALS-s2_r2i1p1,5.26,1.65888,2.38,0.07352639999999999,CMIP5,r2i1p1,FGOALS-s2
CMIP5_FGOALS-s2_r3i1p1,5.17,1.65888,2.42,0.0619488,CMIP5,r3i1p1,FGOALS-s2
CMIP5_FIO-ESM_r1i1p1,3.55,1.5119999999999998,0.542,-0.0802656,CMIP5,r1i1p1,FIO-ESM
CMIP5_FIO-ESM_r2i1p1,3.53,1.49472,0.411,-0.0774144,CMIP5,r2i1p1,FIO-ESM
CMIP5_FIO-ESM_r3i1p1,3.62,1.52928,0.594,-0.091584,CMIP5,r3i1p1,FIO-ESM
CMIP5_GFDL-CM3_r1i1p1,3.15,1.4687999999999999,3.33,0.0110592,CMIP5,r1i1p1,GFDL-CM3
CMIP5_GFDL-ESM2G_r1i1p1,4.11,1.45152,1.35,0.0106272,CMIP5,r1i1p1,GFDL-ESM2G
CMIP5_GFDL-ESM2M_r1i1p1,3.74,1.4774399999999999,1.64,0.021340799999999997,CMIP5,r1i1p1,GFDL-ESM2M
CMIP5_GISS-E2-H-CC_r1i1p1,3.86,1.63296,2.05,0.0350784,CMIP5,r1i1p1,GISS-E2-H-CC
CMIP5_GISS-E2-H_r1i1p1,3.82,1.6848,2.22,0.042336,CMIP5,r1i1p1,GISS-E2-H
CMIP5_GISS-E2-H_r1i1p2,3.88,1.71072,2.18,0.0420768,CMIP5,r1i1p2,GISS-E2-H
CMIP5_GISS-E2-H_r1i1p3,3.62,1.71072,2.62,0.09072,CMIP5,r1i1p3,GISS-E2-H
CMIP5_GISS-E2-H_r2i1p1,3.7,1.6934399999999998,2.51,0.108864,CMIP5,r2i1p1,GISS-E2-H
CMIP5_GISS-E2-H_r2i1p3,3.77,1.6934399999999998,2.9,0.11318399999999999,CMIP5,r2i1p3,GISS-E2-H
CMIP5_GISS-E2-R-CC_r1i1p1,4.33,1.58112,1.81,0.0439776,CMIP5,r1i1p1,GISS-E2-R-CC
CMIP5_GISS-E2-R_r1i1p1,4.09,1.58976,1.85,0.019267199999999998,CMIP5,r1i1p1,GISS-E2-R
CMIP5_GISS-E2-R_r1i1p2,4.49,1.58976,2.16,0.0595296,CMIP5,r1i1p2,GISS-E2-R
CMIP5_GISS-E2-R_r1i1p3,4.32,1.5724799999999999,2.37,0.0763776,CMIP5,r1i1p3,GISS-E2-R
CMIP5_GISS-E2-R_r2i1p1,4.17,1.5983999999999998,1.75,-0.0096768,CMIP5,r2i1p1,GISS-E2-R
CMIP5_GISS-E2-R_r2i1p3,4.24,1.5724799999999999,2.26,0.0373248,CMIP5,r2i1p3,GISS-E2-R
CMIP5_HadGEM2-AO_r1i1p1,3.18,1.6675200000000001,2.2,-0.030412799999999997,CMIP5,r1i1p1,HadGEM2-AO
CMIP5_HadGEM2-CC_r1i1p1,3.79,1.62432,3.2,0.019267199999999998,CMIP5,r1i1p1,HadGEM2-CC
CMIP5_HadGEM2-CC_r2i1p1,3.94,1.65888,3.01,0.04536,CMIP5,r2i1p1,HadGEM2-CC
CMIP5_HadGEM2-CC_r3i1p1,3.49,1.6675200000000001,2.39,-0.027216,CMIP5,r3i1p1,HadGEM2-CC
CMIP5_HadGEM2-ES_r1i1p1,3.15,1.60704,2.67,0.0033523199999999998,CMIP5,r1i1p1,HadGEM2-ES
CMIP5_HadGEM2-ES_r2i1p1,3.16,1.6416000000000002,2.96,0.0087264,CMIP5,r2i1p1,HadGEM2-ES
CMIP5_HadGEM2-ES_r3i1p1,3.13,1.61568,2.6,-0.0256608,CMIP5,r3i1p1,HadGEM2-ES
CMIP5_HadGEM2-ES_r4i1p1,3.19,1.62432,2.72,-0.0149472,CMIP5,r4i1p1,HadGEM2-ES
CMIP5_IPSL-CM5A-LR_r1i1p1,5.17,1.58112,3.15,0.024883199999999998,CMIP5,r1i1p1,IPSL-CM5A-LR
